Instrument,Exchange,QTY | LOT,Avg. Price,LTP,Invested Amt.,Current Value,Returns,Returns %,Product
GOLDBEES-EQ,NSE,88,64.09,115.79,5639.89,10189.52,4549.6,80.67,DELIVERY
ITCHOTELS-EQ,NSE,2,257.54,172.41,515.08,344.82,-170.26,-33.06,DELIVERY
DAVANGERE-EQ,NSE,13,3.66,3.49,47.58,45.37,-2.21,-4.64,DELIVERY
NIFTYBEES-EQ,NSE,215,177,276.46,38055,59438.9,21383.9,56.19,DELIVERY
RELIANCE-EQ,NSE,18,1297.38,1327.2,23352.84,23889.6,536.76,2.3,DELIVERY
ITC-EQ,NSE,20,164.88,280.7,3297.6,5614,2316.4,70.25,DELIVERY
BANKBARODA-EQ,NSE,501,125,246.8,62625,123646.8,61021.8,97.44,DELIVERY
IDEA-EQ,NSE,7,14.93,13.74,104.51,96.18,-8.33,-7.97,DELIVERY
HDBFS-EQ,NSE,20,740,732.5,14800,14650,-150,-1.01,DELIVERY
CHOICEGOLD-EQ,NSE,38,119.94,139.31,4557.72,5293.78,736.06,16.15,DELIVERY
